Country,City,AQI_Value,AQI_Category,CO_AQI_Value,CO_AQI_Category,Ozone_AQI_Value,Ozone_AQI_Category,NO2_AQI_Value,NO2_AQI_Category,PM_25_AQI_Value,PM_25_AQI_Category,lat,lng
35,127,27,2,0,1,27,1,2,1,21,2,41.15,-8.5333
35,127,27,2,0,1,27,1,2,1,21,2,42.1111,-8.7611
16,128,307,6,1,1,45,1,0,1,307,6,24.3785,81.2964
5,129,61,1,2,1,26,1,16,1,61,1,42.064,-88.1468
5,130,42,2,1,1,42,1,2,1,37,2,35.6526,-78.8399
5,130,42,2,1,1,42,1,2,1,37,2,34.1681,-84.4847
20,131,42,2,0,1,32,1,1,1,42,2,51.8297,9.4483
36,132,102,5,1,1,23,1,0,1,102,5,8.15,39.35
3,133,64,1,1,1,53,2,1,1,64,1,39.3167,8.5333
23,134,45,2,1,1,45,1,0,1,38,2,33.65,130.6833
23,135,69,1,1,1,69,2,1,1,60,1,37.4363,137.2605
37,136,50,2,1,1,41,1,1,1,50,2,46.255,20.145
38,137,125,5,2,1,125,5,1,1,82,1,34.6919,50.0131
18,138,41,2,1,1,25,1,1,1,41,2,14.1,120.9333
23,139,52,1,1,1,34,1,3,1,52,1,35.3328,137.1316
23,140,47,2,1,1,47,1,1,1,44,2,36.7192,140.7167
23,141,36,2,1,1,36,1,3,1,34,2,34.7914,133.6164
18,142,37,2,1,1,19,1,0,1,37,2,8.4488,125.7869
1,143,46,2,1,1,27,1,1,1,46,2,56.7333,37.5333
5,144,64,1,1,1,18,1,12,1,64,1,25.7556,-80.4016
39,145,92,1,2,1,52,2,8,1,92,1,32.8536,35.1978
18,146,35,2,1,1,20,1,0,1,35,2,6.6167,124.75
12,147,88,1,2,1,53,2,1,1,88,1,-7.215,107.8856
28,148,45,2,0,1,45,1,0,1,43,2,38.5022,42.2814
15,149,58,1,1,1,24,1,7,1,58,1,50.9452,-2.637
7,150,143,5,2,1,35,1,5,1,143,5,38.7299,112.7134
7,151,187,3,2,1,36,1,8,1,187,3,35.0304,110.998
6,152,58,1,1,1,29,1,6,1,58,1,50.8833,4.4667
6,153,65,1,1,1,27,1,8,1,65,1,50.9722,4.4222
