Country,City,AQI_Value,AQI_Category,CO_AQI_Value,CO_AQI_Category,Ozone_AQI_Value,Ozone_AQI_Category,NO2_AQI_Value,NO2_AQI_Category,PM_25_AQI_Value,PM_25_AQI_Category
5,220,56,1,1,1,18,1,6,1,56,1
5,220,56,1,1,1,18,1,6,1,56,1
5,220,56,1,1,1,18,1,6,1,56,1
43,221,105,5,2,1,13,1,2,1,105,5
7,222,93,1,2,1,90,2,1,1,93,1
2,223,45,2,0,1,22,1,0,1,45,2
56,224,54,1,1,1,8,1,1,1,54,1
20,225,36,2,0,1,29,1,2,1,36,2
5,226,50,2,1,1,35,1,5,1,50,2
16,227,153,3,1,1,34,1,0,1,153,3
5,228,48,2,1,1,36,1,5,1,48,2
1,229,24,2,0,1,24,1,0,1,24,2
46,230,179,3,3,1,179,3,2,1,166,3
16,231,151,3,1,1,26,1,1,1,151,3
12,232,92,1,2,1,45,1,0,1,92,1
1,233,48,2,1,1,39,1,1,1,48,2
10,234,104,5,1,1,16,1,2,1,104,5
18,235,51,1,1,1,27,1,1,1,51,1
18,235,51,1,1,1,27,1,1,1,51,1
47,236,38,2,0,1,20,1,0,1,38,2
8,237,41,2,1,1,27,1,5,1,41,2
5,238,47,2,1,1,46,1,2,1,47,2
15,239,29,2,0,1,29,1,3,1,18,2
15,239,29,2,0,1,29,1,3,1,18,2
15,239,29,2,0,1,29,1,3,1,18,2
8,240,37,2,1,1,32,1,3,1,37,2
57,241,61,1,2,1,2,1,9,1,61,1
22,242,46,2,1,1,17,1,2,1,46,2
5,243,79,1,2,1,13,1,27,1,79,1
5,244,53,1,1,1,24,1,9,1,53,1
5,244,53,1,1,1,24,1,9,1,53,1
23,245,39,2,1,1,38,1,2,1,39,2
58,246,42,2,1,1,41,1,0,1,42,2
4,247,47,2,1,1,36,1,0,1,47,2
20,248,32,2,1,1,27,1,4,1,32,2
2,249,25,2,0,1,6,1,1,1,25,2
5,250,73,1,2,1,26,1,7,1,73,1
5,251,52,1,1,1,22,1,11,1,52,1
45,252,94,1,3,1,9,1,11,1,94,1
25,253,80,1,2,1,22,1,1,1,80,1
3,254,48,2,1,1,45,1,0,1,48,2
16,255,156,3,1,1,33,1,0,1,156,3
9,256,27,2,0,1,27,1,0,1,10,2
18,257,55,1,1,1,20,1,0,1,55,1
7,258,76,1,3,1,32,1,2,1,76,1
