brand,processor_brand,processor_name,processor_gnrtn,ram_gb,ssd,hdd,os,os_bit,graphic_card_gb,Price,rating,Number of Ratings,Number of Reviews
5,0,1,1,1,1,1,1,1,1,91,3,313,35
0,0,1,1,1,1,1,1,1,1,92,3,7,0
5,0,1,3,2,1,1,1,1,1,25,2,265,46
4,0,1,4,2,1,1,1,1,2,93,3,38,3
1,0,1,1,2,1,1,1,2,1,2,2,7,2
0,0,1,3,2,1,1,1,2,1,94,2,4,0
2,0,1,3,1,1,1,1,2,1,95,2,0,0
5,0,1,3,2,1,1,1,2,1,96,2,0,0
0,0,3,2,1,1,3,1,2,1,97,2,818,113
5,0,1,3,2,1,1,1,2,1,98,2,25,4
0,0,1,1,2,1,1,1,1,1,99,1,12,0
0,0,1,3,2,1,1,1,1,1,100,2,17,1
0,0,3,2,1,1,3,1,2,1,21,3,974,170
5,0,1,1,2,1,1,1,1,1,101,2,83,15
0,0,1,1,1,1,1,1,1,1,87,2,31,6
0,0,3,2,1,1,3,1,2,1,102,2,637,91
5,0,1,1,2,3,1,1,1,1,39,4,7,5
5,0,1,3,2,3,1,1,1,1,66,3,207,16
5,0,1,3,2,3,1,1,1,1,103,3,844,103
0,0,1,3,2,3,1,1,1,1,104,3,53,6
5,0,1,3,1,3,1,1,1,1,37,3,62,7
2,0,1,3,2,3,1,1,1,1,47,3,38,2
5,0,1,3,2,3,1,1,1,1,57,3,724,92
5,0,1,3,1,3,1,1,1,1,105,2,0,0
5,0,1,1,1,3,1,1,1,1,106,3,9,0
0,0,1,1,1,3,1,1,1,1,47,2,0,0
5,0,1,3,1,3,1,1,1,1,55,2,0,0
5,0,1,1,1,3,1,1,1,1,107,3,56,7
5,0,1,1,1,3,1,1,1,1,108,2,0,0
5,0,1,3,1,3,1,1,1,1,109,2,0,0
5,0,1,3,1,3,1,1,1,1,27,2,170,11
5,0,1,1,2,3,1,1,1,1,110,1,95,5
0,0,3,2,1,1,3,1,1,1,111,2,197,25
0,0,3,2,1,1,3,1,2,1,112,2,1180,148
4,0,3,2,1,1,3,1,1,1,113,2,232,23
4,0,3,2,1,1,3,1,1,1,114,2,596,65
1,0,3,2,1,1,1,1,2,1,115,2,19,1
1,0,3,2,1,1,3,1,1,1,116,2,84,16
1,0,3,2,1,1,3,1,2,1,117,2,414,54
1,0,3,2,1,1,3,1,2,1,89,1,70,16
2,0,2,2,2,1,3,1,2,3,72,3,10966,1185
2,0,2,2,2,1,3,1,2,1,118,3,1,1
2,0,2,1,2,1,3,2,2,1,119,3,31,6
0,0,2,1,2,1,3,2,2,3,120,3,1881,241
5,0,2,1,2,1,3,2,2,3,121,5,23,4
5,0,2,1,2,1,3,2,2,1,122,2,0,0
4,0,2,1,2,1,3,2,2,1,123,3,818,109
4,0,2,1,2,1,3,2,2,3,124,2,0,0
1,0,2,1,2,1,3,2,2,2,125,3,4428,569
4,0,2,5,2,4,2,1,1,1,126,3,129,16
1,0,2,3,2,3,2,1,1,1,127,3,365,35
2,0,2,4,2,3,2,1,1,1,128,3,39,3
0,0,2,3,2,3,2,1,1,1,57,2,0,0
5,0,2,3,2,3,2,1,1,1,123,2,3,0
2,0,2,5,2,3,2,1,1,1,129,3,14,3
4,0,2,5,2,3,2,1,1,1,130,2,0,0
2,0,2,5,2,3,2,1,1,1,131,2,33,7
0,0,2,3,2,3,2,1,1,1,132,2,0,0
1,0,2,3,2,3,2,1,1,1,133,1,4,0
4,0,2,3,2,2,2,1,1,1,62,3,116,15
4,0,2,3,2,2,2,1,1,1,29,3,206,17
1,0,2,3,2,2,2,1,1,1,134,3,300,24
4,0,2,3,3,2,2,1,1,1,135,3,108,6
0,0,2,1,2,2,2,1,1,3,136,3,3712,412
1,0,2,3,3,2,2,1,1,1,137,3,825,95
1,0,2,3,2,2,2,1,1,1,134,2,0,0
1,0,2,3,2,2,2,1,1,1,60,3,85,4
1,0,2,3,3,2,2,1,1,1,138,3,56,7
0,0,2,3,2,2,2,1,2,1,139,3,10,1
1,0,2,3,2,2,2,1,1,1,140,3,17,4
2,0,2,3,2,2,2,1,1,1,134,3,155,20
1,0,2,1,2,2,2,1,1,1,38,2,0,0
0,0,2,3,2,2,2,1,1,3,141,3,91,17
0,0,2,1,2,2,2,1,1,1,70,3,35,2
1,0,2,1,2,2,2,1,2,1,51,3,126,13
0,0,2,3,2,2,2,1,1,3,12,3,74,10
6,0,2,3,3,2,2,1,1,3,142,3,75,17
0,0,2,3,3,2,2,1,1,4,143,3,124,17
6,0,2,1,2,2,2,1,1,3,10,3,1597,228
0,0,2,1,2,2,2,1,1,3,140,3,3850,378
5,0,2,3,2,2,2,1,1,1,141,3,7,1
5,0,2,3,2,2,2,1,1,1,144,3,3,0
1,0,2,3,3,2,2,1,1,1,145,2,0,0
0,0,2,3,3,2,2,1,1,1,140,2,0,0
4,0,2,3,2,2,2,1,1,1,146,3,5,1
0,0,2,3,3,2,2,1,1,3,147,3,213,45
